New name (used in Shapefile),Old name (used on results website)
Occitanie,Languedoc-Roussillon - Midi-Pyrénées
Nouvelle-Aquitaine,Aquitaine - Limousin - Poitou-Charentes
Normandie,Normandie
Hauts-de-France,Nord-Pas-de-Calais - Picardie
Grand-Est,Alsace - Champagne-Ardenne - Lorraine
Auvergne-Rhône-Alpes,Auvergne - Rhône-Alpes
Bourgogne-Franche-Comté,Bourgogne - Franche-Comté
Centre-Val de Loire,Centre-Val de Loire
Pays-de-la-Loire,Pays de la Loire
Île-de-France,Île-de-France
Guyane,Assemblée de Guyane
Guadeloupe,Guadeloupe
Bretagne,Bretagne
Martinique,Assemblée de Martinique
Corse,Assemblée de Corse
Provence-Alpes-Côte d'Azur,Provence-Alpes-Côte d'Azur
La Réunion,La Réunion
Mayotte,Mayotte
